identifier,smiles,bus
AYOKII,c1cc(-c2ccncc2)ccn1,[1]
AYUPAL,C1CNCCN1,[2]
AYUPEP,C1CN2CCN1CC2,[2]
AYUPIT,NCCCN,[2]
AYUPOB,NCCNCCNCCNCCN,"[14, 12]"
AZECUD,c1ccc(-c2cccc(-c3ccccn3)n2)nc1,[10]
AZEDAK,c1ccc(-c2ccccn2)nc1,[10]
AZEDIS,c1ccncc1,[10]
AZEMUO,Nc1ccccc1,[]
AZENAV,Nc1ccccc1,[]
AZEWAD,NCCN,[2]
AZEWEH,C1CNCCN1,[2]
AZEWIL,NCCN,[2]
AZEWOR,NCCCN,[2]
AZEZEK,CNC,[1]
AZIQAB,NC1CCCCC1,[1]
AZONIM,CC1CNC(C)CN1,[1]
AZOPEK,NC1CCC(N)CC1,[1]
AZOWIV,NCCNCCN,"[12, 1]"
AZOWOB,NCCN,"[12, 1]"
BAGPEE,N=C(N)N,[]
BAGXOZ,NCCN,[]
BAHQOR,CN1CCNCC1,[1]
BAKFAV,N=C(N)N,[0]
BAKFEZ,NCCCN,[0]
BAKKUV,N=c1[nH]cn[nH]1,[5]
BAMMEK,c1cn(-c2ccc(N=Nc3ccc(-n4ccnc4)cc3)cc2)cn1,[]
BANDAV,N=C(N)N,[15]
BARHOS,CNC,[1]
BARWEX,c1ccncc1,[]
BATCOQ,Nc1cccnc1,[1]
BAVXAX,NCc1ccccc1,[4]
BAVXEB,NCCCN,[4]
BAWZAC,CCCCN,[]
BAWZEG,CCCCN,[11]
BAXKAM,NCCN,[]
BAXMIW,CNC,[]
BAXMUI,C1CNCCN1,[]
BAXPUL,NCCN,[]
BAYBOT,NC1CCC(N)CC1,[0]
BAYBUY01,CCc1cccnc1,[]
BEBFAQ,C1CNCCN1,[16]
BECQUV,C1CN2CCN1CC2,"[14, 12, 1]"
BECRAD,C1CN2CCN1CC2,[17]
BEDNAA,NCCCN1CCN(CCCN)CC1,[6]
BEFKUU,CCCN(C)CCC,[1]
BEFLAB,CN,[1]
BEFLEF,CNC,[1]
BEFLIJ,CNC,[1]
BEFMAC,CC(C)(CN)CN,[1]
BEFMEG,C1CNCCN1,[1]
BEFMIK,C1CN2CCN1CC2,[1]
BEFMOQ,NCCCN,[1]
BEFMUW,CNCCN,[1]
BEFNAD,CNCCN,[1]
BEFNEH,NCCCN,[1]
BEFNIL,NCCN,[1]
BEFNOR,NCCCCN,[1]
BEFNUX,NCCCCN,[1]
BEFPAF,CC1(C)CC(N)CC(C)(C)N1,[1]
BEHKAA,CN(C)CCN(C)C,[1]
BEJHAC,CCCCN(CCCC)CCCC,[4]
BEKDIF,C1CCNCC1,[1]
BEKSAM,NCCN,[1]
BEMJAG,NCCN(CCN)CCN,[]
BEMWAT,N=c1cccc[nH]1,[4]
BERVUQ,NCCN,[13]
BERWAX,C1CNCCN1,[13]
BESJIT,NC1CCC(N)CC1,[1]
BEVKUJ,NCc1ccccc1,[2]
BEVLAQ,NCCCNCCNCCCN,[2]
BEWSIF,N=C(N)N,[]
BEYSAZ,CNC,[2]
BEZBAL,c1c[nH]cn1,[5]
BEZLEX,NCCN,[]
BEZVIO,CNC,[0]
BEZVOU,CNC,[0]
BEZVUA,CNC,"[3, 0]"
BEZWAH,CNC,"[11, 0]"
BICGID,CCCN,[]
BICGIG,CN,[]
BICGOJ,CC(C)N,[]
BICGOM,Cc1ccc(C)c(N)c1,[]
BICPOT,CN(C)c1ccncc1,[1]
BIQFAL,c1c[nH]cn1,[7]
BIQFOW,c1ccncc1,[1]
BIQHUH,c1c[nH]cn1,[7]
BIQNUM,C1CNCCN1,[2]
BIQPAU,C1CN2CCN1CC2,"[2, 10]"
BIQREA,CN1CCN(C)CC1,"[0, 4]"
BIQRIE,CN1CCN(C)CC1,"[0, 4]"
BIQSAX,c1cc(-c2ccncc2)ccn1,[5]
BITREB,CC(C)(C)N,[]
BITRIF,CC(C)(C)N,[]
BIVLUQ,NCCNCCN,[1]
BIVSOO,c1cc(-c2ccncc2)ccn1,[10]
BIVXUZ,CN,[]
BIVYEK,CN,[]
BIWGUJ,NCCCCCCN,[1]
BIWHAQ,NCCCCCCCCN,[1]
BIWLUO,C1CNCCN1,[1]
BIWMAV,C1CNCCN1,[1]
BIWWAG,C1CNCCN1,[4]
BIWWEK,c1cc(-c2ccncc2)ccn1,[4]
BIYFEV,NCCN,[1]
BIYFIZ,NCCN,[1]
BOFBII,c1ccncc1,[4]
BOJBOS,CN(C)CCN(C)C,[]
BOJDAG,c1ccncc1,[1]
BOKJIV,CCNCCNCC,[]
BOKJOB,CCNCCN(C)C,[]
BOKJUH,CN(C)CCN(C)C,[]
BOKKAO,NCCN(CCN)CCN,[]
BOKKES,CCNCCNCC,[]
BOKKIW,CCNCCN(C)C,[]
BOKKOC,CN(C)CCN(C)C,[]
