mz11-213,[C5H14N2]3[V10O28]·5H2O,yes,0D,2-mpip,P-1,JO80.14,N,include,N,,Y,Y
mz11-214,[C4H12N2]3[V10O28]·3H2O,yes,0D,3-apry,P-1,MS92.7,N,include,N,,Y,Y
mz11-215,[C5H14N2]2[C2H10N2][V10O28]·4H2O,yes,0D,2-mpip/en,P21/n,TA16.6,N,include,N,,Y,Y
mz13-276,[C4H14N2]3[V10O28]·4H2O,yes,0D,dmed,C2/c,KE2.23,N,include,N,,Y,Y
mz14q-128,[NH4]2[N2C5H14]2[V10O28]·6H2O,yes,0D,1.4-apip,Pcab,MW35.7,N,include,N,,Y,Y
mz14q-168,[C7H20N2]2[V4O12],yes,0D,"1,1,2,2-tmdap",P-1,AM40.3c,N,include,N,,Y,Y
mz14q-187,[C12H27N2][VO3],yes,1D,1-opip,P21/c,MW44.7,N,include,Y - but proceed,,,
mz15q-240,[C7H18N4][V10O28]·5H2O,yes,0D,tmta,C2/m,YH94.14,N,include,N,,,
x0079,[N2C5H14]2[Mo8O26]·2H2O,yes,0D,1-mpip,P21/n,EAM36.3,N,include,Y - but proceed,,,
X0133,[N2C6H18][(MoO3)3(SO4)]·H2O,yes,1D,tmed,P21/n,AJ14.2,N,include,N,,Y,Y
x0136,[N2C6H18]3[Mo9O30]·2H2O,yes,0D,tmed,P21/n,AJ15.1.2,N,include,N,,Y,Y
x0219,[C8H14N2]2[Mo8O26],yes,1D,"1,4-xd",P-1,JN83.3,N,include,Y - but proceed,,,
x0228,[C7H20N2]2[Mo8O26],yes,0D,"1,7-dah",P21/n,JN91.4,N,include,Y - but proceed,,,
x0322,[C6N2H18]3[Mo9O30]· H2O,yes,1D,dmeed,C2/c,AJb16.2,N,include,Y - but proceed,,,
x0346,[C6N4H21]2[Mo7O24]·6H2O,yes,0D,tren,P-1,AJb25.1,NATDEU,exclude,N,,Y,Y
