smiles,encoded_mdes_0,encoded_mdes_1,encoded_mdes_2,encoded_mdes_3,encoded_mdes_4,encoded_mdes_5,encoded_mdes_6,encoded_mdes_7,encoded_mdes_8,encoded_mdes_9,encoded_mdes_10,encoded_mdes_11,encoded_mdes_12,encoded_mdes_13,encoded_mdes_14,encoded_mdes_15,encoded_mdes_16,encoded_mdes_17,encoded_mdes_18,encoded_mdes_19,encoded_mdes_20,encoded_mdes_21,encoded_mdes_22,encoded_mdes_23,encoded_mdes_24,encoded_mdes_25,encoded_mdes_26,encoded_mdes_27,encoded_mdes_28,encoded_mdes_29,encoded_mdes_30,encoded_mdes_31,encoded_mdes_32,encoded_mdes_33,encoded_mdes_34,encoded_mdes_35,encoded_mdes_36,encoded_mdes_37,encoded_mdes_38,encoded_mdes_39,encoded_mdes_40,encoded_mdes_41,encoded_mdes_42,encoded_mdes_43,encoded_mdes_44,encoded_mdes_45,encoded_mdes_46,encoded_mdes_47,encoded_mdes_48,encoded_mdes_49,encoded_mdes_50,encoded_mdes_51,encoded_mdes_52,encoded_mdes_53,encoded_mdes_54,encoded_mdes_55,encoded_mdes_56,encoded_mdes_57,encoded_mdes_58,encoded_mdes_59,encoded_mdes_60,encoded_mdes_61,encoded_mdes_62,encoded_mdes_63,encoded_mdes_64,encoded_mdes_65,encoded_mdes_66,encoded_mdes_67,encoded_mdes_68,encoded_mdes_69,encoded_mdes_70,encoded_mdes_71,encoded_mdes_72,encoded_mdes_73,encoded_mdes_74,encoded_mdes_75,encoded_mdes_76,encoded_mdes_77,encoded_mdes_78,encoded_mdes_79,encoded_mdes_80,encoded_mdes_81,encoded_mdes_82,encoded_mdes_83,encoded_mdes_84,encoded_mdes_85
Nc1cccc(N)c1,-0.04062376,0.050225697,0.043743435,-0.07802154,0.067243375,1.1403114e-05,8.217106e-05,0.021945842,-0.11500076,-0.010132731,0.016538322,0.030427858,-0.016062446,-0.08031631,-0.01324961,-0.11518249,0.09177543,0.033835776,0.03984622,0.045628045,-0.07960318,-0.0055933073,-0.07918504,-0.08780348,0.09165511,0.013857139,-0.112414934,0.05073343,-0.07240406,-0.010905264,0.028611297,-0.028328083,-0.036916554,0.005606299,0.03215569,-0.03934992,0.011513606,0.021312937,0.06772943,-0.031891838,0.0030803084,-0.043297216,0.058505785,-0.095461644,-0.019901384,0.06414424,-0.010789119,0.09389061,-0.026448462,-0.044841137,0.057823613,0.012613814,0.07353728,0.0048653223,0.038200248,-0.07409386,-0.12999122,-0.059435025,0.08490656,0.025848769,0.06664065,0.10169856,-0.008324157,-0.13010752,0.0711021,0.014675225,0.06837771,0.054304067,-0.118591145,-0.017845089,0.031897593,0.04951022,-0.053177923,-0.046552718,-0.015873846,0.03510713,0.022550734,0.11472182,-0.003125092,0.0026234668,-0.0060306266,0.017380778,0.0077494527,-0.060892865,-0.04328772,-0.048749495
CCCCCCCCN,-0.040615696,0.050239384,0.043748956,-0.07802035,0.067252144,-2.5774352e-06,8.935947e-05,0.021952374,-0.114987776,-0.010137221,0.016563859,0.030414153,-0.016076084,-0.08031609,-0.013259189,-0.11519742,0.09179337,0.03385348,0.039846182,0.04561499,-0.0796144,-0.0055937935,-0.0791876,-0.08779475,0.09165443,0.013859674,-0.112425156,0.0507535,-0.07239409,-0.010917775,0.028613776,-0.028326854,-0.036916696,0.005634792,0.032159377,-0.039366897,0.011499763,0.021297768,0.06772205,-0.031887487,0.0030729696,-0.043295115,0.058519036,-0.095459394,-0.019893914,0.06414298,-0.010791756,0.09388624,-0.026459709,-0.044844694,0.05782034,0.012631946,0.073518716,0.0048713535,0.038218793,-0.074082464,-0.1299963,-0.059446666,0.08490369,0.025827222,0.06663527,0.10168665,-0.008322049,-0.13011718,0.071113795,0.01468666,0.06836371,0.054313026,-0.1185897,-0.017849224,0.031900827,0.049504384,-0.053154342,-0.046569854,-0.015860625,0.035094842,0.02255386,0.11472532,-0.0031211097,0.002631152,-0.006057147,0.017375737,0.00773254,-0.060887113,-0.04329078,-0.048753135
C1CCC(NC2CCCCC2)CC1,-0.040620197,0.050226327,0.043749638,-0.078025065,0.067247674,4.9360096e-06,8.4462576e-05,0.021943362,-0.11499257,-0.010131375,0.016556717,0.030420508,-0.016074069,-0.08032301,-0.0132538155,-0.11519159,0.09177573,0.033840567,0.03984425,0.045618035,-0.07961333,-0.0055948086,-0.07918228,-0.08779505,0.09165716,0.013853481,-0.11241939,0.050745115,-0.072404385,-0.01091069,0.02862334,-0.028328802,-0.03690812,0.005628151,0.032161817,-0.03935529,0.01150943,0.021310769,0.067725405,-0.031894587,0.0030728206,-0.043292087,0.05851256,-0.095460325,-0.019903807,0.064139605,-0.010791176,0.093890116,-0.026457727,-0.044840556,0.057829756,0.012622068,0.07352941,0.004867457,0.038202416,-0.07408941,-0.12998605,-0.059438996,0.08490747,0.02583735,0.06663691,0.10169287,-0.0083246045,-0.13011472,0.071102165,0.0146840485,0.0683681,0.054304473,-0.11858991,-0.01785315,0.03190228,0.049505968,-0.05316851,-0.04656129,-0.01586974,0.03509694,0.022552997,0.114726625,-0.00311069,0.0026314473,-0.006048821,0.017384594,0.0077343695,-0.06089047,-0.043298677,-0.048752226
C(CC1CCNCC1)CC1CCNCC1,-0.04062186,0.05022701,0.043747965,-0.078026876,0.067248635,-2.165325e-06,8.389633e-05,0.021937022,-0.11498983,-0.010130597,0.016553765,0.03042582,-0.016073465,-0.08032231,-0.013258874,-0.115188584,0.09176953,0.03383877,0.039846092,0.04562214,-0.07961574,-0.005587617,-0.07918367,-0.08779286,0.091659494,0.013854591,-0.11242361,0.05074784,-0.07240526,-0.010912921,0.028617758,-0.028327607,-0.036911607,0.005626306,0.032167323,-0.039352767,0.011511967,0.021309314,0.06772769,-0.031891346,0.0030774735,-0.043298487,0.058512855,-0.09545496,-0.019901102,0.06413928,-0.010793119,0.093884215,-0.026458632,-0.044848636,0.057833523,0.012614118,0.07353651,0.004867241,0.03819869,-0.07409239,-0.12998822,-0.059435137,0.08490741,0.02584053,0.066637784,0.10168883,-0.008322652,-0.13011418,0.071100704,0.014682208,0.06836941,0.054308385,-0.11859177,-0.01785241,0.031898774,0.04950671,-0.053167935,-0.046560667,-0.01587231,0.03509809,0.022550298,0.11472117,-0.0031122286,0.0026335092,-0.0060475916,0.017384414,0.0077359797,-0.060889624,-0.043296862,-0.04875169
NCCCNCCCN,-0.040614896,0.050237156,0.043754682,-0.07802327,0.067248434,-4.602596e-06,8.799648e-05,0.021954942,-0.114990614,-0.01014103,0.016563024,0.030418519,-0.016072277,-0.0803152,-0.013260206,-0.115194835,0.09178872,0.03384666,0.03984262,0.045616064,-0.07961325,-0.0055833273,-0.07919142,-0.087798,0.09165561,0.013858207,-0.11242605,0.05075272,-0.07239949,-0.010915138,0.02860674,-0.02832738,-0.036916457,0.005641045,0.0321651,-0.03937198,0.011504944,0.021300143,0.0677244,-0.031889684,0.0030743517,-0.043296106,0.05851396,-0.095461145,-0.019890856,0.06414157,-0.0107918335,0.093893945,-0.026461903,-0.044846915,0.057815276,0.0126302745,0.07351871,0.004870802,0.038217906,-0.074082196,-0.12999393,-0.059447438,0.08491002,0.025825322,0.06663784,0.10169163,-0.008321181,-0.13011241,0.07111567,0.014685758,0.06836094,0.0543151,-0.11859443,-0.01784773,0.03189399,0.049504302,-0.053156927,-0.046567574,-0.015863616,0.035094246,0.022552064,0.114721894,-0.0031181332,0.0026289076,-0.006053608,0.017371444,0.0077361185,-0.06089032,-0.04328713,-0.04875128
Nc1cnccn1,-0.040628314,0.050221093,0.043747354,-0.07802839,0.06722987,1.04918145e-05,7.566856e-05,0.02194065,-0.11499796,-0.010130431,0.01653096,0.030432872,-0.016057827,-0.08032092,-0.01324866,-0.115169615,0.091767274,0.033828795,0.03984625,0.0456347,-0.07960118,-0.0055878833,-0.079189114,-0.08780083,0.0916635,0.013854823,-0.112417236,0.05072771,-0.072407246,-0.010906143,0.028603613,-0.028333645,-0.036922604,0.0055988412,0.03216249,-0.03934576,0.011519158,0.0213179,0.06773578,-0.031889725,0.003078226,-0.043304022,0.058496173,-0.09546334,-0.019904362,0.06413831,-0.010792575,0.093888,-0.026442815,-0.04484714,0.057831183,0.012609259,0.07355048,0.0048667043,0.03818919,-0.074099116,-0.12998983,-0.059429396,0.0849082,0.025856122,0.06664491,0.10169849,-0.008321065,-0.1300989,0.071101874,0.014674512,0.06838463,0.05429692,-0.11859447,-0.017840998,0.03189117,0.04950895,-0.05318089,-0.046545886,-0.015884086,0.035108477,0.022547957,0.114716426,-0.0031283144,0.0026225653,-0.006021507,0.017381959,0.0077572595,-0.06089671,-0.04328478,-0.048748326
Cc1cccc(N)c1C,-0.040622737,0.050229818,0.04374257,-0.078022346,0.06724349,1.0473654e-05,8.286489e-05,0.021947045,-0.11499082,-0.010133657,0.01654252,0.030421302,-0.016066786,-0.08031629,-0.013248259,-0.115177915,0.091776654,0.033839975,0.039852154,0.04562958,-0.07959905,-0.005603906,-0.07918021,-0.08779989,0.0916576,0.013857283,-0.11241661,0.05073428,-0.072396964,-0.010904975,0.028617043,-0.028328214,-0.036918633,0.0055962377,0.03215041,-0.03934782,0.011511967,0.021313254,0.06772499,-0.03188741,0.0030724742,-0.043295067,0.05851099,-0.095465004,-0.01990694,0.06414415,-0.0107856635,0.09388979,-0.026445031,-0.04483668,0.05782917,0.012618748,0.07353379,0.0048687123,0.038198918,-0.07409565,-0.12998831,-0.059429176,0.08489425,0.025848364,0.06663568,0.10169739,-0.008320659,-0.13010524,0.07109542,0.014682162,0.068380766,0.054301616,-0.11858563,-0.01784637,0.03189721,0.049512655,-0.053175714,-0.046550557,-0.01587966,0.035108417,0.022549665,0.11472292,-0.003125837,0.0026240433,-0.006040469,0.017378908,0.0077459663,-0.060891397,-0.04328635,-0.0487528
N=CN,-0.04061054,0.05022283,0.04375505,-0.07802078,0.0672395,1.5254132e-05,8.354522e-05,0.021958362,-0.11498261,-0.010137737,0.01656699,0.030410659,-0.016077906,-0.08031838,-0.013248635,-0.11519401,0.09178534,0.033841565,0.03984344,0.045623627,-0.07959558,-0.0056064054,-0.07917869,-0.087795556,0.091663994,0.013861372,-0.11241969,0.050730895,-0.07239288,-0.010909289,0.028622493,-0.028337449,-0.03692092,0.005618741,0.03214415,-0.03935962,0.011504272,0.021311183,0.06772408,-0.031889904,0.0030675456,-0.04328161,0.05851001,-0.095468394,-0.01990444,0.06413978,-0.010791852,0.0938995,-0.026444826,-0.04483963,0.057824645,0.012638718,0.07352322,0.00486603,0.038209826,-0.07408319,-0.12998211,-0.059439972,0.08490376,0.025834754,0.06663731,0.101698235,-0.008326583,-0.13011035,0.07110404,0.014691352,0.06837247,0.054301083,-0.11859331,-0.017851876,0.031896155,0.049499713,-0.053165883,-0.04656163,-0.015870254,0.035100847,0.022555195,0.11472465,-0.003117906,0.0026252503,-0.006051615,0.01737687,0.007734823,-0.060889382,-0.043291762,-0.04876204
CN(C)C,-0.040609274,0.050239526,0.04374849,-0.078027695,0.06724929,-1.0590535e-05,8.886494e-05,0.02196018,-0.11498118,-0.010142814,0.01656539,0.030411776,-0.016073547,-0.08030928,-0.013257626,-0.11519939,0.09179524,0.03384383,0.039845385,0.045617424,-0.07960681,-0.0055833217,-0.07919091,-0.08780199,0.091661245,0.013853389,-0.11242895,0.05075459,-0.072399646,-0.010916909,0.028601808,-0.028327994,-0.03693067,0.005635377,0.03216627,-0.03937311,0.011505779,0.021302689,0.0677243,-0.031882614,0.0030731186,-0.043291755,0.058519043,-0.095470324,-0.01989077,0.064133346,-0.010791933,0.09389907,-0.026453678,-0.044846304,0.05782147,0.012642695,0.07351703,0.004867766,0.038228206,-0.07407735,-0.12999502,-0.05944383,0.08490142,0.025826875,0.06663645,0.10169654,-0.008307289,-0.13011727,0.07111932,0.014693444,0.06836679,0.05432187,-0.118597195,-0.017843688,0.031890817,0.049504373,-0.05314917,-0.046564274,-0.01586502,0.03509339,0.022550156,0.114723675,-0.0031245854,0.0026268512,-0.0060621276,0.017364949,0.0077375853,-0.060893185,-0.043284707,-0.048762914
Cc1cnc[nH]1,-0.040623665,0.05023314,0.043746676,-0.07802328,0.06723923,1.1296943e-05,8.000666e-05,0.02194919,-0.11498796,-0.010133751,0.01654414,0.030419542,-0.016066425,-0.080314636,-0.013246259,-0.11517882,0.091781914,0.033846103,0.039850548,0.04562345,-0.07960545,-0.005598169,-0.079184905,-0.08779587,0.09166223,0.01385612,-0.1124184,0.050742712,-0.07239958,-0.010907752,0.02861347,-0.028330337,-0.036921922,0.0056057777,0.032154426,-0.039353777,0.011510259,0.021309888,0.06772521,-0.031883862,0.0030708462,-0.043300238,0.05850916,-0.09546919,-0.019906193,0.06413801,-0.01078332,0.0938852,-0.026444975,-0.04483872,0.057830002,0.012623322,0.0735315,0.004871983,0.038201306,-0.07409211,-0.12999198,-0.05943508,0.0848947,0.025843572,0.066637814,0.10169263,-0.00832089,-0.13010329,0.07110307,0.01468387,0.06837666,0.054302458,-0.11858858,-0.01784361,0.031893082,0.049510982,-0.05317013,-0.046553493,-0.015879117,0.03510621,0.022550944,0.114724495,-0.0031283367,0.0026241383,-0.006043952,0.017376656,0.00774597,-0.06089129,-0.04328212,-0.04875335
