smiles,encoded_mdes_0,encoded_mdes_1,encoded_mdes_2,encoded_mdes_3,encoded_mdes_4,encoded_mdes_5,encoded_mdes_6,encoded_mdes_7,encoded_mdes_8,encoded_mdes_9,encoded_mdes_10,encoded_mdes_11,encoded_mdes_12,encoded_mdes_13,encoded_mdes_14,encoded_mdes_15,encoded_mdes_16,encoded_mdes_17,encoded_mdes_18,encoded_mdes_19,encoded_mdes_20,encoded_mdes_21,encoded_mdes_22,encoded_mdes_23,encoded_mdes_24,encoded_mdes_25,encoded_mdes_26,encoded_mdes_27,encoded_mdes_28,encoded_mdes_29,encoded_mdes_30,encoded_mdes_31,encoded_mdes_32,encoded_mdes_33,encoded_mdes_34,encoded_mdes_35,encoded_mdes_36,encoded_mdes_37,encoded_mdes_38,encoded_mdes_39,encoded_mdes_40,encoded_mdes_41,encoded_mdes_42,encoded_mdes_43,encoded_mdes_44,encoded_mdes_45,encoded_mdes_46,encoded_mdes_47,encoded_mdes_48,encoded_mdes_49,encoded_mdes_50,encoded_mdes_51,encoded_mdes_52,encoded_mdes_53,encoded_mdes_54
CCCn1ccnc1,-0.06833621,-0.01618994,0.047898993,-0.101476684,0.042488903,0.09634891,-0.104317926,-0.016873566,0.03668467,0.050249077,0.01740501,0.08884587,0.14509878,-0.057360414,0.069774896,0.10802211,-0.10361799,0.02026239,0.102797166,0.025674695,0.11045161,0.053816043,-0.029707694,-0.06291771,-0.01328692,-0.0890228,0.005405237,0.03776116,-0.033882696,-0.12408048,0.0006742729,-0.07331516,-0.037701067,0.07842374,0.037039183,-0.09671447,-0.06866052,0.09262967,0.017438984,-0.01289846,0.07777953,0.08524327,0.10083635,0.034743458,-0.035259943,-0.016503733,0.086004384,0.08355024,0.010760453,0.045488164,0.050621692,-0.072883196,-0.04238486,0.0047982875,-0.033202667
c1ccc(-c2ccc(-c3ccncc3)nc2)cc1,-0.06833656,-0.016189523,0.04789956,-0.10147637,0.04248999,0.09634971,-0.10431723,-0.016873889,0.036684822,0.05024667,0.017404042,0.08884548,0.14509797,-0.057359368,0.0697744,0.108020656,-0.10361822,0.020261224,0.10279579,0.025675995,0.1104521,0.053817376,-0.029708698,-0.06291889,-0.013286617,-0.08902322,0.005405222,0.0377608,-0.033882223,-0.12408054,0.0006746622,-0.07331633,-0.037699874,0.07842363,0.037038453,-0.096713535,-0.068660475,0.09263015,0.017437419,-0.01289857,0.07777898,0.08524288,0.100837134,0.034742862,-0.03526024,-0.016502725,0.08600454,0.08355015,0.010759952,0.045486465,0.050620023,-0.072881356,-0.042384647,0.0047971625,-0.033202115
c1ccc(-c2ccncc2)nc1,-0.06833721,-0.016189173,0.047898855,-0.10147712,0.042489775,0.09634984,-0.104317285,-0.016873492,0.036685143,0.050247945,0.017404035,0.08884484,0.14509842,-0.05735935,0.069774516,0.10802109,-0.10361812,0.020261228,0.102796376,0.025675299,0.110452466,0.053817563,-0.029707737,-0.06291916,-0.013286518,-0.089022964,0.0054050786,0.037761413,-0.033882238,-0.124080725,0.0006742282,-0.07331601,-0.037700735,0.07842417,0.037038792,-0.0967136,-0.06866034,0.09263048,0.017437749,-0.012898132,0.07777829,0.08524256,0.10083706,0.03474318,-0.035260227,-0.01650297,0.086004555,0.083550364,0.010760032,0.04548625,0.050620392,-0.07288234,-0.04238508,0.004797185,-0.033202052
CC(N)CCCCN,-0.06833564,-0.01619057,0.047899596,-0.10147603,0.04248868,0.09634822,-0.10431788,-0.016873894,0.036684193,0.050247863,0.01740574,0.08884634,0.14509866,-0.057361007,0.06977503,0.10802134,-0.10361797,0.020262148,0.10279694,0.025675287,0.11045103,0.05381567,-0.029709313,-0.06291733,-0.013287455,-0.08902314,0.0054054754,0.037760735,-0.03388314,-0.12407999,0.0006754948,-0.07331537,-0.037700154,0.078422755,0.037039,-0.09671437,-0.0686606,0.09262927,0.017439507,-0.012898171,0.07778101,0.085243165,0.10083676,0.034743212,-0.035259422,-0.016504053,0.08600491,0.08354992,0.010760201,0.04548921,0.05062163,-0.07288277,-0.042384367,0.0047997003,-0.03320337
CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)ccn2)c1,-0.06833528,-0.016189713,0.047900435,-0.10147611,0.042489693,0.09634964,-0.10431796,-0.016874887,0.036684576,0.050245766,0.01740425,0.08884509,0.14509891,-0.057360083,0.069774404,0.108021736,-0.103617474,0.020262923,0.10279619,0.025676602,0.11045059,0.05381611,-0.029709034,-0.062916785,-0.013286738,-0.08902325,0.0054050433,0.037760153,-0.03388346,-0.12408105,0.00067411084,-0.07331558,-0.03769939,0.078421146,0.037038073,-0.0967145,-0.06866067,0.092628874,0.01743817,-0.012898661,0.07777916,0.08524322,0.100836135,0.034742586,-0.03526051,-0.016501846,0.086003706,0.08354975,0.010760764,0.045488685,0.050619885,-0.07288121,-0.04238416,0.004797917,-0.033202264
Cc1cc(C)nc(N)c1,-0.06833605,-0.016189333,0.047898944,-0.10147746,0.04248911,0.096348934,-0.10431892,-0.01687352,0.036683552,0.050248455,0.017405283,0.088845074,0.14509949,-0.05736003,0.069775075,0.1080244,-0.10361828,0.020262942,0.102797106,0.02567496,0.11045207,0.053816617,-0.029708363,-0.06291644,-0.013287868,-0.089022875,0.005405207,0.037760608,-0.033882894,-0.12408072,0.00067400653,-0.07331523,-0.03770119,0.07842083,0.0370396,-0.09671484,-0.06866221,0.09262938,0.01744045,-0.012898363,0.077779,0.08524501,0.100836106,0.034743056,-0.035259645,-0.016503226,0.08600384,0.08355005,0.010760941,0.04548945,0.05062196,-0.07288289,-0.042383693,0.0047991257,-0.033202443
CN1CCCC1c1cccnc1,-0.06833673,-0.016189195,0.047899354,-0.10147702,0.042488776,0.0963492,-0.1043183,-0.01687343,0.036684453,0.05024774,0.01740498,0.08884525,0.14509831,-0.057359733,0.06977445,0.1080219,-0.10361826,0.02026157,0.10279646,0.025675388,0.11045173,0.053817064,-0.029708132,-0.06291801,-0.013286091,-0.08902283,0.005404991,0.03776042,-0.033882856,-0.124080524,0.0006742971,-0.073316544,-0.037700783,0.07842289,0.03703846,-0.09671415,-0.06866041,0.09263064,0.017438168,-0.012898978,0.07777914,0.08524286,0.1008372,0.03474296,-0.03525999,-0.016502932,0.08600413,0.083551034,0.010760084,0.045487553,0.050620474,-0.072882846,-0.04238478,0.0047981674,-0.03320246
Nc1ncccn1,-0.06833587,-0.016188957,0.047899134,-0.10147736,0.042489998,0.09634958,-0.10431841,-0.016873322,0.036683515,0.05024899,0.017404895,0.08884567,0.14509895,-0.057360016,0.069775194,0.108024545,-0.10361831,0.02026346,0.10279749,0.025674375,0.1104525,0.053816535,-0.02970706,-0.06291616,-0.013288138,-0.08902225,0.005404669,0.0377613,-0.033882428,-0.124081105,0.00067338627,-0.07331516,-0.037701417,0.07842217,0.03704011,-0.09671569,-0.06866207,0.09262842,0.017439932,-0.012898561,0.0777788,0.08524534,0.10083473,0.034743037,-0.035260852,-0.016502723,0.086003676,0.08355029,0.01076092,0.04548887,0.05062229,-0.07288289,-0.042384446,0.00479744,-0.03320279
CCCCNC,-0.068335816,-0.016190618,0.04789971,-0.101475745,0.04248905,0.096348405,-0.104317136,-0.016873997,0.03668523,0.05024855,0.017405154,0.088847116,0.14509909,-0.0573614,0.06977548,0.10802038,-0.10361786,0.020262092,0.10279666,0.025675198,0.11045124,0.05381478,-0.029708222,-0.062917665,-0.013287125,-0.0890232,0.005405511,0.0377618,-0.033882774,-0.12407963,0.0006751055,-0.07331444,-0.037700024,0.07842511,0.03703913,-0.09671429,-0.068659425,0.0926287,0.017438363,-0.012897529,0.07778039,0.08524297,0.10083625,0.034742966,-0.035260554,-0.016503673,0.08600505,0.08354969,0.010760471,0.04548812,0.050621137,-0.07288274,-0.042384684,0.0047984608,-0.033203106
CCCNCCN,-0.0683359,-0.016190317,0.047899522,-0.10147615,0.042488895,0.09634808,-0.10431748,-0.016873762,0.03668476,0.050248608,0.017405245,0.088846534,0.14509858,-0.057360835,0.06977543,0.108021244,-0.103618115,0.02026185,0.10279695,0.025675034,0.11045146,0.0538155,-0.029708423,-0.062917784,-0.013287218,-0.08902316,0.005405274,0.03776139,-0.033882946,-0.124079764,0.00067516696,-0.0733148,-0.037700593,0.078424156,0.037039347,-0.09671419,-0.06866029,0.092629254,0.01743902,-0.012898076,0.077780455,0.08524351,0.100836515,0.03474272,-0.035260003,-0.01650395,0.08600493,0.08355007,0.010760404,0.04548849,0.05062159,-0.072882816,-0.042384345,0.0047988985,-0.03320316
c1cc2ccc1CNCCN1CCNCc3ccc(cc3)CNCCN(CCNC2)CCNCc2ccc(cc2)CNCC1,-0.06833099,-0.016192246,0.047906727,-0.10147287,0.042492025,0.09634808,-0.10431658,-0.01687682,0.036685705,0.050242804,0.017400598,0.08884862,0.14509797,-0.05735883,0.06977737,0.10802233,-0.10362149,0.02026312,0.10279334,0.025678312,0.11045314,0.053812288,-0.029708993,-0.06291533,-0.013287516,-0.08902389,0.005406701,0.0377601,-0.033881616,-0.12407826,0.00067307334,-0.07331572,-0.03769598,0.07842308,0.03704118,-0.09671538,-0.06865928,0.09262526,0.01743428,-0.012900528,0.077778466,0.08525156,0.10083361,0.03473679,-0.035264324,-0.016498912,0.086002514,0.08354968,0.010761844,0.04548685,0.050617322,-0.072876066,-0.04238002,0.0047933124,-0.033198114
CCCCCCCCCCCCCCN,-0.068334386,-0.016191006,0.047902882,-0.10147434,0.0424902,0.09634816,-0.10431664,-0.016874734,0.036685605,0.05024499,0.017404031,0.088848226,0.1450975,-0.057360783,0.06977568,0.10801911,-0.10361955,0.020260993,0.102794774,0.025677146,0.110451676,0.05381433,-0.02970934,-0.06291738,-0.013286648,-0.089023724,0.0054057883,0.037761062,-0.033882663,-0.12407902,0.00067569595,-0.07331608,-0.037697665,0.07842526,0.037038967,-0.09671444,-0.06865789,0.09262807,0.017435586,-0.012898609,0.07778056,0.08524491,0.100836165,0.03474009,-0.035262216,-0.01650159,0.08600475,0.083550155,0.0107602365,0.045486756,0.050618257,-0.072880104,-0.042383388,0.004796749,-0.033202045
