smiles,encoded_mdes_0,encoded_mdes_1,encoded_mdes_2,encoded_mdes_3,encoded_mdes_4,encoded_mdes_5,encoded_mdes_6,encoded_mdes_7,encoded_mdes_8,encoded_mdes_9,encoded_mdes_10,encoded_mdes_11,encoded_mdes_12,encoded_mdes_13,encoded_mdes_14,encoded_mdes_15,encoded_mdes_16,encoded_mdes_17,encoded_mdes_18,encoded_mdes_19,encoded_mdes_20,encoded_mdes_21,encoded_mdes_22,encoded_mdes_23,encoded_mdes_24,encoded_mdes_25,encoded_mdes_26,encoded_mdes_27,encoded_mdes_28,encoded_mdes_29,encoded_mdes_30,encoded_mdes_31,encoded_mdes_32,encoded_mdes_33,encoded_mdes_34,encoded_mdes_35,encoded_mdes_36,encoded_mdes_37,encoded_mdes_38,encoded_mdes_39,encoded_mdes_40,encoded_mdes_41,encoded_mdes_42,encoded_mdes_43,encoded_mdes_44,encoded_mdes_45,encoded_mdes_46,encoded_mdes_47,encoded_mdes_48,encoded_mdes_49,encoded_mdes_50,encoded_mdes_51,encoded_mdes_52,encoded_mdes_53,encoded_mdes_54,encoded_mdes_55,encoded_mdes_56,encoded_mdes_57,encoded_mdes_58,encoded_mdes_59,encoded_mdes_60,encoded_mdes_61,encoded_mdes_62,encoded_mdes_63,encoded_mdes_64,encoded_mdes_65,encoded_mdes_66,encoded_mdes_67,encoded_mdes_68
Cc1cc(C(C)(C)C)nc(C(C)(C)C)c1,0.046194308,-0.037736513,-0.05384121,0.06857999,-0.026641283,0.12332366,0.07553817,-0.036704898,0.0007141647,0.0902568,-0.01985088,-0.026929539,-0.023087192,0.015953125,-0.013992084,-0.040351525,0.013977682,-0.07905104,-0.050801273,0.12987424,0.052275013,-0.05488031,0.022163652,0.07895554,0.09832358,-0.04812683,-0.043539762,0.0013419278,-0.009557547,0.034170754,-0.007321853,0.03716532,-0.023706451,-0.017949248,-0.076067954,0.076412044,-0.013333574,0.042260997,-0.090483576,-0.056690548,-0.061211433,-0.039202,0.022323173,0.009706529,0.049015336,0.050498832,-0.047923516,-0.07667237,-0.05055317,-0.068222664,0.04294047,0.011572302,0.08584132,0.0048504286,-0.055619683,-0.09766799,-0.063073516,-0.10328913,-0.032092433,-0.06666041,-0.07950984,-0.05498646,0.011316702,0.015416265,0.022304766,0.10476832,0.06775695,0.09373397,-0.053369306
CN1CCCCC1,0.046196405,-0.03774032,-0.053842068,0.06857875,-0.02663676,0.12332883,0.07554129,-0.03670311,0.00071781594,0.0902581,-0.019845977,-0.026931863,-0.023086812,0.015956841,-0.013991552,-0.040351517,0.01397694,-0.07905272,-0.05080666,0.12987265,0.05226973,-0.054878395,0.022161227,0.07895392,0.098317906,-0.04812729,-0.043539643,0.0013425201,-0.009559229,0.034170546,-0.007323405,0.037165068,-0.023705767,-0.017952401,-0.076065764,0.076413505,-0.013332665,0.042257898,-0.09048255,-0.05669222,-0.06121073,-0.039201096,0.022314461,0.009705681,0.049012776,0.050498888,-0.04792425,-0.07667267,-0.050555263,-0.06822422,0.0429404,0.011571628,0.08584526,0.0048530744,-0.055618495,-0.09766624,-0.063077636,-0.10329157,-0.032089796,-0.066660136,-0.07951176,-0.054986164,0.011321187,0.015418203,0.02231113,0.10476777,0.06775837,0.09373553,-0.05337217
C1CNC(CN2CCCC2)C1,0.046199296,-0.037738945,-0.053843316,0.06857692,-0.026638776,0.12332847,0.07554341,-0.03670143,0.000716798,0.09026143,-0.019844178,-0.026931195,-0.023088116,0.015955344,-0.013991237,-0.040353376,0.013975084,-0.079052895,-0.050804902,0.12987053,0.052269567,-0.054879546,0.02216342,0.078952424,0.098318174,-0.04812769,-0.04353737,0.0013422016,-0.009561645,0.034170784,-0.0073236786,0.0371642,-0.023706393,-0.017952075,-0.07606825,0.076412134,-0.013329785,0.042259745,-0.09048557,-0.056693573,-0.06121116,-0.039197862,0.022314506,0.009702567,0.04901174,0.050497595,-0.04792172,-0.076674156,-0.050554805,-0.06822291,0.04294481,0.011569549,0.08584801,0.0048527177,-0.055619493,-0.09766713,-0.063078485,-0.103292964,-0.032090925,-0.06665734,-0.07950969,-0.054987796,0.011323091,0.015420421,0.022312667,0.10476955,0.06775816,0.09373869,-0.05337125
N=c1[nH]cc[nH]1,0.04619445,-0.037731312,-0.05384823,0.06857678,-0.026641142,0.12333102,0.07554276,-0.036705412,0.0007068068,0.090257615,-0.019853186,-0.02692845,-0.023087423,0.01595423,-0.013993557,-0.040357433,0.0139792655,-0.07905638,-0.050799407,0.12987407,0.05227418,-0.054880694,0.02216751,0.07895273,0.09832956,-0.04812229,-0.043536685,0.0013453327,-0.009550432,0.034169495,-0.007330489,0.037158467,-0.023702048,-0.017942999,-0.07606499,0.07641708,-0.013333425,0.042261835,-0.0904886,-0.056688603,-0.061208002,-0.039204136,0.02232346,0.009711573,0.049023744,0.0504978,-0.047923625,-0.076668516,-0.0505515,-0.06822426,0.042954236,0.011577872,0.08584122,0.004849028,-0.055622242,-0.09767051,-0.06307382,-0.10329741,-0.032096673,-0.06665649,-0.07950911,-0.054988164,0.011317037,0.015418719,0.022307836,0.10476951,0.06775176,0.09374526,-0.05336377
Cc1ccc(N)cc1,0.046195354,-0.037733227,-0.053844556,0.0685779,-0.02664201,0.123327166,0.07554111,-0.036703415,0.000712574,0.09025761,-0.01985193,-0.026928723,-0.023089394,0.015953815,-0.013991322,-0.040354706,0.013977129,-0.07905417,-0.050801758,0.12987041,0.05227261,-0.054879986,0.022164073,0.078952536,0.0983257,-0.04812473,-0.04353664,0.0013429672,-0.00955569,0.034169048,-0.0073256292,0.037162516,-0.023705475,-0.017944504,-0.07606521,0.07641534,-0.0133336,0.042261068,-0.090484835,-0.05669004,-0.0612096,-0.039201684,0.022319943,0.009707216,0.049018748,0.05049704,-0.047923215,-0.076672435,-0.05055366,-0.06822343,0.04294689,0.011573118,0.085843146,0.0048511354,-0.055620726,-0.097667806,-0.0630755,-0.10329353,-0.032093316,-0.06665992,-0.07950896,-0.054988317,0.0113205165,0.015419631,0.022307608,0.10476965,0.067755535,0.09373783,-0.053366095
Cc1ccc(CN)cc1,0.046194322,-0.037733767,-0.053843215,0.06857887,-0.026640052,0.12332582,0.07554359,-0.036701784,0.00071256515,0.090258144,-0.0198512,-0.026929932,-0.023090448,0.015954254,-0.013991615,-0.040354274,0.013976326,-0.07905407,-0.050801713,0.12986812,0.05227023,-0.054881755,0.022163503,0.078952074,0.09832326,-0.048125133,-0.04353556,0.001343051,-0.009555854,0.034169175,-0.0073249964,0.037163727,-0.023703713,-0.017945495,-0.076065615,0.076413915,-0.013335768,0.042262316,-0.090482466,-0.05668903,-0.06121106,-0.039202604,0.022318896,0.009707607,0.049019583,0.050497096,-0.047924247,-0.07667245,-0.050553113,-0.068223335,0.042945612,0.011572138,0.08584346,0.0048522176,-0.0556203,-0.097666934,-0.06307578,-0.1032937,-0.032093104,-0.06666001,-0.079508685,-0.05498982,0.011321068,0.015419261,0.022308916,0.10476962,0.067755744,0.09373747,-0.05336767
c1ccc(CNCc2ccccc2)cc1,0.046193905,-0.03773399,-0.053845275,0.06857833,-0.026639827,0.12332672,0.07554464,-0.03669954,0.00071319565,0.09025935,-0.019852392,-0.026932202,-0.02309078,0.015951555,-0.013993326,-0.04035382,0.01397666,-0.07905319,-0.050799932,0.12986748,0.05227095,-0.054880153,0.022164728,0.078952536,0.09832623,-0.048123706,-0.04353642,0.0013432428,-0.009555424,0.034169976,-0.007324257,0.037164114,-0.023704547,-0.01794624,-0.07606861,0.0764108,-0.013333891,0.04226322,-0.09048404,-0.056688055,-0.061210565,-0.039201662,0.022320803,0.009708041,0.04901916,0.0504975,-0.047924094,-0.07667178,-0.050552346,-0.06822501,0.042946696,0.011573025,0.08584301,0.0048511866,-0.05562094,-0.09766585,-0.06307274,-0.103291415,-0.03209495,-0.06665757,-0.07951061,-0.054989383,0.011318147,0.015419575,0.022307929,0.10477123,0.06775678,0.09373948,-0.05336765
CC(C)NCCNC(C)C,0.046195142,-0.037739255,-0.053842667,0.06857687,-0.02663761,0.123330906,0.07554161,-0.03670401,0.00071703177,0.0902595,-0.019847833,-0.026930088,-0.023087893,0.015955694,-0.013990791,-0.0403517,0.01397797,-0.079052284,-0.050805,0.12987375,0.052271746,-0.054876313,0.022163697,0.07895378,0.09831954,-0.04812658,-0.043539584,0.0013407152,-0.009557525,0.0341692,-0.0073241564,0.037163585,-0.023705866,-0.017951807,-0.07606748,0.07641406,-0.013333738,0.042257022,-0.09048304,-0.056692697,-0.061208837,-0.039202128,0.022316683,0.009705126,0.049014784,0.050497722,-0.04792585,-0.0766706,-0.050553255,-0.06822339,0.042942036,0.01157355,0.08584201,0.0048513142,-0.055616442,-0.097667925,-0.06307477,-0.10329092,-0.03209192,-0.06665865,-0.07951265,-0.054986212,0.011317477,0.015415571,0.022308998,0.10477063,0.06775579,0.093737185,-0.0533719
CN(C)C(N)=NC(=N)N,0.046194192,-0.037732515,-0.053847972,0.0685766,-0.026644068,0.123329416,0.07553789,-0.036705706,0.00070736185,0.090255626,-0.019853977,-0.026926424,-0.023088705,0.015953338,-0.013992851,-0.040354837,0.013976591,-0.079051405,-0.05079917,0.12987456,0.052272663,-0.054880645,0.022166561,0.07895307,0.098330006,-0.04812426,-0.043538295,0.0013461895,-0.009552915,0.034172066,-0.007329901,0.037158053,-0.023704978,-0.017943067,-0.0760673,0.07641786,-0.013335012,0.04226489,-0.090489775,-0.05668962,-0.06121084,-0.039202977,0.02232407,0.009712346,0.04902219,0.05049718,-0.047924254,-0.07666862,-0.050548486,-0.06822349,0.042951733,0.011576063,0.08583961,0.004845049,-0.05562179,-0.09767237,-0.06307084,-0.10329495,-0.03209729,-0.06665513,-0.079506606,-0.05498907,0.011315998,0.015418806,0.022306208,0.10476963,0.06775126,0.093742356,-0.053365402
C(=Nn1cnnc1)c1ccncc1,0.046189576,-0.037731923,-0.053849094,0.06857985,-0.026638376,0.123328835,0.07554948,-0.036701247,0.0007045618,0.09026258,-0.019856766,-0.026930554,-0.023089197,0.015955709,-0.013995481,-0.040358603,0.0139751015,-0.07905491,-0.05079778,0.12986562,0.05227286,-0.054882858,0.022168988,0.07895441,0.09833349,-0.048124097,-0.043535877,0.0013475902,-0.009546913,0.034169845,-0.0073306295,0.037161455,-0.023700658,-0.01794282,-0.07607076,0.076410554,-0.013329584,0.042268,-0.09048634,-0.056685753,-0.06120869,-0.03920608,0.022323146,0.009712586,0.049026676,0.050495528,-0.04792636,-0.07666767,-0.050550662,-0.0682245,0.04295608,0.011577555,0.0858409,0.004846138,-0.055621866,-0.097665936,-0.06306966,-0.10329562,-0.032098725,-0.06665009,-0.07950877,-0.054991864,0.011312202,0.01541577,0.022307966,0.10477227,0.06775193,0.09374863,-0.053362206
