name,test_dimscore_a,test_dimscore_b,test_dimscore_c,test_loss
dataset_eab_aemdes,0.7140186915887851,0.7252336448598131,0.9570093457943926,0.7953742146492004
dataset_eab_cluster,0.6897196261682244,0.6990654205607477,0.9420560747663551,0.8270260691642761
dataset_eab_dummy,0.7102803738317757,0.7233644859813084,0.9383177570093458,0.807022213935852
dataset_eab_GetHashedAtomPairFingerprintAsBitVect,0.685981308411215,0.6934579439252336,0.9457943925233645,0.8650549650192261
dataset_eab_GetHashedTopologicalTorsionFingerprintAsBitVect,0.7009345794392523,0.708411214953271,0.9457943925233645,0.8331142663955688
dataset_eab_GetMACCSKeysFingerprint,0.6934579439252336,0.7046728971962617,0.9476635514018692,0.8378542065620422
dataset_eab_GetMorganFingerprintAsBitVect,0.6841121495327103,0.6934579439252336,0.930841121495327,0.8758500218391418
dataset_eab_LayeredFingerprint,0.685981308411215,0.697196261682243,0.9364485981308411,0.9079872965812683
dataset_eab_mdes,0.5233644859813084,0.5271028037383177,0.8411214953271028,1.1912479400634766
dataset_eab_None,0.6990654205607477,0.7102803738317757,0.9551401869158879,0.8104283809661865
dataset_eab_PatternFingerprint,0.6728971962616822,0.6822429906542056,0.9439252336448598,0.8822380900382996
dataset_eab_RDKFingerprint,0.6747663551401869,0.6841121495327103,0.9196261682242991,0.903220534324646
dataset_eb_ablation,0.676829268292683,0.725609756097561,0.9085365853658537,0.8789229393005371
dataset_none_ablation,0.6630872483221476,0.6630872483221476,0.9610738255033557,0.811772346496582
