identifier,comment,SDES_CompositionFormula,SDES_Dimension,SDES_FormalCharge,SDES_LatticeVolume
ANEFIK,,Cu4 C12 O24,2.0,-4.0,1676.7419911709542
APIPUL,,U4 H36 C24 O32,0.0,-4.0,1753.7715165204004
APIZEF,,W12 O42,0.0,-6.0,1330.7927612405451
APOFIV,,Zn14 H60 C48 O52,0.0,-4.0,2848.6888034346566
APOGOD,,Fe36 H108 C108 O216,3.0,-15.0,7337.1238387098665
APOZIO,,V112 As64 S8 O368,0.0,-48.0,10642.342793601247
AQOURI,,U4 H8 N8 O36,0.0,0.0,1047.568379419825
AQUPAE,,Co18 H12 S18 O84,2.0,-11.0,2080.811233221057
ARABIF,,V28 Ge16 O100,0.0,-8.0,4877.914931536737
AROYOW,,V20 O56,0.0,-12.0,2469.0938310918295
ARUFIC,,Ga24 As24 O104 F8,3.0,-16.0,3205.9347556709763
ARUYOB,,Zn12 P16 H16 O48,3.0,-8.0,1987.8075797276867
ARUYUH,,Zn12 P16 H16 O48,3.0,-8.0,2041.18151538448
ASEMIU,,V112 Sb64 O336,0.0,-32.0,10769.965743450739
ASEQIA,,V6 Se6 O28,2.0,-4.0,925.3410759883515
ASEQOG,,V6 Se6 O28,2.0,-4.0,810.9985012458211
ASEQUM,,V6 Se6 O28,2.0,-4.0,809.5690014275807
ASERAT,,V6 Se6 O28,2.0,-4.0,850.0722208772839
ASEREX,,V12 Se12 O56,2.0,-8.0,1637.2449167290602
ASERIB,,V6 Se6 O28,2.0,-4.0,938.15786665872
ASEZOP,,Ni4 Mo48 P32 H56 O248,0.0,-24.0,8737.77059560835
ASEZUV,,Cd4 Mo48 P32 H36 O248,0.0,-28.0,8677.921508699403
ASIBAH,,Cd10 Mo24 P16 H44 O136,2.0,-8.0,4255.561277809994
ASOJAT,,Mn2 P2 H4 O10,2.0,-2.0,271.2956207314068
ASOWEK,,Mo16 O52,1.0,-8.0,1738.1156068117991
ASOXOV,,Cu2 H4 C8 O18,0.0,-4.0,755.3600962181534
ATAHEI,,V4 Se8 O28,2.0,-8.0,904.0725143704733
ATECIN,,Cu4 Mo20 P8 H28 O104,0.0,-12.0,3679.5982925739704
AWAJOY,,Sb4 W72 O240,0.0,-28.0,7182.622982876374
AWASEW,,Ga24 P28 O128,2.0,-20.0,3659.6351458800004
AWEFAK,,Ga2 P4 O16,1.0,-4.0,654.7308637294828
AWEFIS,,Ga4 P8 H4 O32,1.0,-8.0,1215.5003580254404
AWEKUI,,Zn8 P12 H8 O48,2.0,-12.0,1663.1308022083242
AWIFER,,Zn4 P6 H6 O18,2.0,-4.0,626.1157550380212
AWIPUT,,Zn4 Co8 Mo40 O168,1.0,-16.0,5855.612152582887
AWOJIG,,Cu2 C8 O16,0.0,-4.0,571.4589297341271
AWOPOS,,V4 O12,0.0,-4.0,960.1544496718623
AWOQAF,,Fe12 H104 C64 O72,0.0,-4.0,3803.9221638254635
AXAFAG,,U24 P24 H28 O152 F8,3.0,-16.0,4796.101895324513
AXAFEK,,Ge36 H8 O84,3.0,-16.0,2419.55066208
AXOHOL,,V2 Te2 O10,1.0,-2.0,387.793125946782
AXOHUR,,V8 Te8 O40,2.0,-8.0,1511.1070930716205
AXORUB,,P4 W48 O160,0.0,-12.0,4869.55149852601
AXUPEO,,Mn2 Al6 P8 O36,3.0,-2.0,1028.5657570965004
AYEJIY,,Nd2 H4 S6 O26,2.0,-6.0,763.7737368847949
AYEJOE,,Ho4 H16 S12 O56,1.0,-12.0,1614.1093813232133
AYEMAT,,U4 H4 Se8 O36,2.0,-4.0,1989.9970127182953
AYILOK,,V16 P24 O112,3.0,0.0,2555.6465820539515
AYIMIF,,Cd1 H8 S2 O12,0.0,-2.0,336.3879942816768
AYIZOY,,Co4 C24 O48,0.0,-16.0,2330.7287700065176
AYOKII,,Mo10 P4 H4 O46,0.0,-8.0,1760.0908417235144
AYUPAL,,Ni12 H16 S12 O56 F8,2.0,-8.0,1588.9328902746004
AYUPEP,,Ni12 H16 S12 O56 F8,2.0,-8.0,1779.6981625221122
AYUPIT,,Ni6 S6 O28 F4,2.0,-4.0,867.7409212811098
AYUPOB,,V24 B88 O216,0.0,-40.0,6158.217185395441
AZECUD,,U2 H8 N4 O20,0.0,0.0,2157.707536959759
AZEDAK,,U4 N12 O44,0.0,-4.0,1665.6137798742236
AZEDIS,,U2 H2 N4 O18,0.0,-2.0,921.4522738742728
AZEMUO,,Tc4 O16,0.0,-4.0,835.6844350253562
AZENAV,,Re4 O16,0.0,-4.0,848.6034336174412
AZEWAD,,Nd8 H16 S20 O88,3.0,-16.0,2281.269239502498
AZEWEH,,Nd4 H8 S8 O36,3.0,-5.0,913.500893643308
AZEWIL,,Nd2 S4 O16,2.0,-2.0,379.85766606674053
AZEWOR,,La8 S16 O64,2.0,-8.0,1632.5053310098535
AZEZEK,,Al16 P24 H8 O96,2.0,-16.0,3254.061793806917
AZIQAB,,Mo20 P8 O92,0.0,-20.0,4805.268693061629
AZONIM,,Zn4 P8 H8 O32,1.0,-10.0,1309.0293597980062
AZOPEK,,Ga8 P8 O40,2.0,-8.0,1373.5331901118934
AZOWIV,,Cd8 B16 P24 H8 Cl8 O104,2.0,-24.0,3183.0230371900007
AZOWOB,,Cd8 B16 P24 O104,3.0,-16.0,2502.004369524
BAGPEE,,Mo2 O8,0.0,-4.0,484.02238733407034
BAHQOR,,Zn8 P16 H16 O64,1.0,-16.0,2532.2970853516786
BAKFAV,,Zn6 P8 H8 O24,3.0,-4.0,953.0359400845933
BAKFEZ,,Zn12 P16 H16 O48,2.0,-8.0,1791.6410159552274
BAKKUV,,Si4 Mo48 O160,0.0,-12.0,5220.268966254342
BAMMEK,,Mo22 O68,2.0,-4.0,2129.7112801816174
BANDAV,,U4 C8 O40,0.0,-8.0,2254.9117336200006
BARHOS,,Mo72 P6 O240,0.0,-18.0,5960.349326125705
BARWEX,,V6 O14,2.0,-2.0,507.4561607186888
BATCOQ,,Mo48 P4 O160,0.0,-12.0,5927.385314553345
BAVXAX,,Cu4 C16 O32,2.0,-8.0,2014.2258096000003
BAVXEB,,Cu4 C16 O32,0.0,-8.0,1081.694040308698
BAWZAC,,Cu18 Sb6 W54 Cl18 O198,0.0,-36.0,9476.820236896077
BAWZEG,,Mn18 As6 W54 Cl18 O198,0.0,-36.0,9616.397172193028
BAXKAM,,Ga16 Ge16 O64,3.0,-16.0,2027.8452313561525
BAXPUL,,Ga2 Ge4 O12,3.0,-2.0,337.56528097032515
BAYBOT,,Zn12 P16 H16 O48,2.0,-10.0,1994.1508221048202
BAYBUY01,,V40 O112,0.0,-12.0,4078.739472858161
BEBFAQ,,Ge12 B8 O36 F8,2.0,-10.0,1314.7798389488
BECQUV,,V4 B12 P16 H20 O84,0.0,-16.0,3107.095505410393
BECRAD,,K8 Cl24 O96,3.0,-21.0,2953.7525121920007
BEDNAA,,Fe4 As4 H8 O20 F4,2.0,-4.0,786.4213812958873
BEHKAA,,Zn4 P4 H6 O18,2.0,-2.0,586.7187333093846
BEJHAC,,Cu4 C16 O32,0.0,-8.0,3352.672688466368
BEKDIF,,Zn8 P8 H8 Cl8 O32,2.0,-8.0,2016.8335863720001
BEKSAM,,Ga20 P16 O72 F4,3.0,-8.0,1746.4428540951212
BEMJAG,,Ge42 O84 F36,2.0,-42.0,4537.8941255536665
BEMWAT,,Cr4 H16 C16 O40,0.0,-4.0,1294.6554421571138
BERVUQ,,La2 H8 Se4 O20,2.0,-2.0,483.75850799137487
BERWAX,,La2 Se4 O16,2.0,-2.0,463.69775146333615
BESJIT,,Zn28 P28 H14 O112,2.0,-14.0,3454.160775474317
BEVKUJ,,Cu1 H8 S2 O12,0.0,-2.0,561.6319039686479
BEVLAQ,,U8 H8 S12 O68,2.0,-7.0,1930.4118683242298
BEWSIF,,Te4 H6 O20,0.0,-8.0,979.6691779803173
BEYSAZ,,Ho4 H32 S8 O48,0.0,-4.0,1270.709976228
BEZBAL,,Si2 W24 O80,0.0,-8.0,2353.024868843126
BEZLEX,,U4 O12 F16,0.0,-8.0,919.5425874232304
BICGID,,Mo14 O48,0.0,-12.0,2376.969740500456
BICGIG,,Mo12 O40,1.0,-8.0,1127.8305241540468
BICGOJ,,Mo28 O96,0.0,-24.0,4684.210333621339
BICGOM,,Mo20 O64,2.0,-8.0,2704.1861779704905
BICPOT,,Al32 P32 O128 F8,3.0,-8.0,4226.717420762972
BIQFAL,,Na2 Cr2 H12 C12 O24,3.0,-4.0,974.1225382250465
BIQFOW,,Ga12 P12 O48 F4,3.0,-4.0,1518.2824455675377
BIQHUH,,Na4 Al4 H24 C24 O48,3.0,-8.0,1941.3380245697983
